Time step 0 ended, beginning 1
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 1 ended, beginning 2
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 2 ended, beginning 3
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 3 ended, beginning 4
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 4 ended, beginning 5
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 5 ended, beginning 6
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 6 ended, beginning 7
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 7 ended, beginning 8
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 8 ended, beginning 9
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 9 ended, beginning 10
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 10 ended, beginning 11
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 11 ended, beginning 12
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 12 ended, beginning 13
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 13 ended, beginning 14
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 14 ended, beginning 15
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 15 ended, beginning 16
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 16 ended, beginning 17
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 17 ended, beginning 18
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 18 ended, beginning 19
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 19 ended, beginning 20
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 20 ended, beginning 21
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 21 ended, beginning 22
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 22 ended, beginning 23
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 23 ended, beginning 24
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 24 ended, beginning 25
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 25 ended, beginning 26
People Infected: 0People that died so far: 6Total Infected: 10Total Dead 6Time step 26 ended, beginning 27
